ID,LIKE_JP_FOOD,LIKE_CN_FOOD,LIKE_TH_FOOD,LIKE_ES_FOOD,LIKE_HTY_FOOD,LIKE_BF_FOOD,LIKE_SB_FOOD,LIKE_GRL_FOOD,LIKE_BEER,LIKE_FASHION,LIKE_COSMETICS,LIKE_SKINCARE,LIKE_EXERCISE,LIKE_GAMES,LIKE_TRAVEL,LIKE_READING,LIKE_READING_ONLINE,LIKE_E_LEARNING,LIKE_SEREIS,LIKE_MOVIES,LIKE_YOUTUBE,LIKE_NETFLIX,LIKE_ENTERTAINMENT,LIKE_GAME_CONTENT,LIKE_FOOD_REVIEW,LIKE_TRAVEL_CONTENT,LIKE_HOME_DECORATATION,LIKE_TV_CONTENT,LIKE_LAKON,LIKE_POLITIC,CONS_JP_FOOD,CONS_CN_FOOD,CONS_TH_FOOD,CONS_ES_FOOD,CONS_HTY_FOOD,CONS_BF_FOOD,CONS_SB_FOOD,CONS_GR_FOOD,CONS__BEER,CONS_FASHION,CONS_COSMETICS,CONS_SKINCARE,CONS_EXERCISE,CONS_GAMES,CONS_TRAVEL,CONS_READING,CONS_READING_ONLINE,CONS_E_LEARNING,CONS_SERIES,CONS_MOVIES,CONS_YOUTUBE,CONS_NETFLIX,CONS_ENTERTAINMENT,CONS_GAME_CONTENT,CONS_FOOD_REVIEW,CONS_TRAVEL_CONTENT,CONS_HOME_DECORATION,CONS_TV_CONTENT,CONS_LAKON,CONS_POLITIC,GROUP,GROUP DESCRIPTION
1,4,4,6,5,4,4,4,4,6,3,2,4,5,5,3,4,4,6,5,5,4,6,4,5,5,3,3,3,3,6,3,1,5,4,5,3,3,2,4,1,1,5,5,4,3,3,3,3,3,4,4,4,1,2,3,3,3,3,3,5,Y1,GenY - Male
2,5,3,6,5,4,5,6,5,2,3,3,3,5,5,6,6,6,6,3,6,6,5,3,3,5,6,6,3,2,4,4,1,5,4,4,3,3,3,0,2,0,2,5,5,2,5,5,4,1,4,5,3,2,3,5,5,4,1,1,4,Z2,GenZ - Female
3,6,3,5,4,3,6,6,6,1,3,0,1,4,6,6,6,6,3,6,6,6,6,6,6,6,6,6,5,2,6,4,1,5,1,1,2,2,2,0,0,0,0,1,4,1,5,3,3,5,5,5,5,5,5,5,3,3,3,1,5,Z1,GenZ - Male
4,4,3,3,3,4,4,4,4,0,0,0,6,5,6,6,4,4,5,6,6,6,6,0,6,3,4,3,2,0,5,2,0,5,3,0,2,2,2,0,0,0,5,2,3,1,3,3,3,4,4,4,4,0,5,2,2,0,0,0,3,Z1,GenZ - Male
5,5,4,4,4,6,3,3,3,3,3,4,5,6,2,4,5,4,4,6,6,3,6,3,2,3,4,4,2,2,3,3,2,4,4,5,1,1,1,2,2,5,5,5,0,1,3,4,3,4,4,3,4,2,0,2,3,2,0,0,3,Z2,GenZ - Female
6,6,6,6,4,3,6,6,6,6,2,2,2,3,4,6,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,5,3,0,2,2,2,1,0,0,0,0,1,1,0,2,5,3,3,5,3,5,1,2,2,2,2,2,5,Z1,GenZ - Male
7,6,4,6,6,4,3,4,4,3,6,6,6,4,2,6,5,5,5,5,5,5,5,5,1,5,6,4,4,5,5,4,2,5,5,3,2,2,2,0,3,5,5,3,0,2,4,4,4,4,4,4,4,5,0,3,3,3,5,5,5,Z2,GenZ - Female
8,5,2,6,6,4,5,6,4,6,4,1,2,4,3,6,5,5,4,5,5,4,5,3,2,3,5,5,3,2,5,4,0,5,4,3,4,2,1,4,2,0,1,3,2,2,3,5,1,2,2,5,4,1,1,4,5,4,0,0,5,Z1,GenZ - Male
9,6,2,5,5,3,5,5,5,2,3,0,4,4,6,5,5,5,5,6,6,6,6,6,6,6,5,3,3,3,5,4,0,5,4,1,3,3,3,0,2,0,5,2,5,2,3,5,4,3,3,5,3,4,4,4,2,2,2,2,4,Z1,GenZ - Male
10,4,3,5,3,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,5,5,1,5,3,4,2,2,2,3,3,1,5,5,5,2,4,3,5,4,4,4,4,4,3,3,3,3,3,3,5,Y1,GenY - Male
11,5,4,4,5,5,5,6,6,6,4,3,4,4,5,5,5,5,6,4,4,5,5,5,5,2,4,2,2,2,5,2,0,5,4,2,1,1,2,2,1,1,1,1,4,1,4,5,5,1,4,4,1,1,1,1,4,2,3,3,4,Y1,GenY - Male
12,4,3,5,5,6,3,3,3,2,6,6,4,6,3,6,4,4,4,4,4,4,4,6,2,4,6,6,3,3,4,2,0,5,2,5,1,1,1,1,3,5,5,5,5,1,4,4,4,2,2,5,2,5,0,4,4,5,2,1,4,Z2,GenZ - Female
13,4,4,3,2,5,6,6,6,5,3,4,5,6,5,6,3,4,4,6,6,6,6,6,5,6,6,6,6,5,4,3,2,5,1,4,3,3,3,4,2,5,5,5,3,3,3,4,3,5,5,5,5,5,5,4,4,4,4,4,4,Y2,GenY - Female
14,6,2,5,5,4,6,5,3,4,3,0,3,3,6,4,5,5,5,4,4,6,5,5,6,3,3,3,2,2,6,3,1,5,4,2,3,3,1,3,1,0,1,2,5,1,4,3,2,2,2,5,4,4,5,3,1,0,1,0,5,Z1,GenZ - Male
15,5,3,5,4,6,6,6,6,5,3,1,3,4,3,5,4,3,3,3,3,4,3,1,1,4,5,3,0,0,3,3,1,5,4,4,2,2,3,1,0,0,0,4,1,2,1,5,1,0,0,5,0,0,0,3,3,1,0,0,5,Z1,GenZ - Male
16,6,5,6,6,5,5,5,5,2,4,4,4,4,3,6,4,4,4,3,4,5,5,5,2,6,6,4,4,4,4,2,1,5,4,4,1,1,1,0,1,2,2,4,0,5,3,3,3,2,3,5,4,3,0,5,5,2,2,2,2,Z2,GenZ - Female
17,5,3,4,5,3,5,5,4,3,6,6,6,3,3,5,6,6,4,6,6,4,5,6,3,5,5,5,3,4,3,2,3,5,3,0,1,2,1,1,4,5,5,0,0,1,4,4,2,3,3,4,3,5,0,4,3,3,1,2,5,Y2,GenY - Female
18,3,4,4,4,2,3,3,6,6,2,0,1,5,6,6,3,4,3,5,6,4,6,2,1,2,4,5,3,3,4,1,1,5,3,2,0,0,3,5,2,0,0,4,5,3,5,5,2,4,5,5,5,2,2,2,3,4,1,1,4,Y1,GenY - Male
19,5,4,5,4,5,3,4,3,0,4,4,5,4,4,4,4,4,4,5,5,5,5,3,3,4,3,4,3,3,2,2,3,5,2,3,1,1,1,0,2,3,5,3,4,1,4,4,3,5,5,5,5,2,2,3,2,3,2,2,1,Z2,GenZ - Female
20,6,5,4,3,6,4,4,5,1,1,2,4,5,5,6,6,6,5,6,4,3,5,4,4,6,5,4,3,3,5,4,2,5,3,4,2,2,2,1,1,0,1,4,5,1,5,5,4,5,1,4,5,4,4,5,5,4,2,1,4,Y1,GenY - Male
21,6,6,4,4,3,5,6,5,3,4,0,3,4,6,4,1,3,2,5,5,5,5,4,5,2,2,1,0,0,4,5,4,5,4,3,3,4,3,4,4,0,2,5,5,1,1,4,1,5,5,5,5,5,5,2,2,1,0,0,4,Z1,GenZ - Male
22,5,3,5,4,5,3,4,4,4,3,1,2,6,4,5,4,5,5,3,4,3,4,2,4,3,5,4,2,1,4,4,1,5,3,4,1,3,2,2,1,0,1,4,4,2,3,5,4,4,2,4,4,3,3,3,3,2,1,0,4,X1,GenX - Male
23,5,3,5,0,0,4,5,6,6,0,0,0,4,6,4,3,3,3,5,3,3,5,3,4,3,3,3,1,1,1,2,0,5,0,0,2,2,2,3,0,0,0,3,5,1,2,3,4,5,3,5,5,2,3,1,1,1,0,0,1,Y1,GenY - Male
24,5,1,4,5,5,2,4,2,0,4,0,5,5,6,4,5,6,5,6,6,4,5,1,4,4,4,5,2,0,3,2,0,5,3,4,0,0,0,0,1,0,1,3,4,0,4,5,3,5,0,5,5,0,4,0,0,0,0,0,1,Z1,GenZ - Male
25,6,6,6,4,3,4,5,5,3,4,4,4,3,3,5,4,6,6,6,4,5,5,5,3,5,5,3,3,3,3,5,2,5,4,3,2,3,3,1,2,3,3,1,1,1,2,5,5,5,4,5,5,4,1,4,4,1,1,1,1,Z2,GenZ - Female
26,4,3,4,3,4,3,3,3,2,1,0,3,5,6,5,6,6,5,4,5,4,4,2,5,1,3,1,4,0,5,3,1,5,2,0,1,1,1,0,0,0,0,4,1,0,2,5,5,3,1,5,3,0,4,0,0,0,0,0,4,Z1,GenZ - Male
27,6,4,3,4,1,5,4,4,0,0,3,3,3,3,5,3,4,4,5,5,5,5,5,2,6,6,2,2,2,1,2,1,5,3,0,2,2,2,0,1,1,5,3,0,1,4,4,2,2,2,4,3,4,0,4,4,0,0,0,2,Z2,GenZ - Female
28,4,3,6,5,4,3,4,4,3,5,4,4,5,4,4,2,3,3,4,5,4,5,5,4,4,4,5,4,4,3,3,1,3,4,3,2,2,3,1,4,3,3,5,5,2,3,5,3,2,2,5,3,4,2,4,4,4,4,4,4,Z2,GenZ - Female
29,5,3,4,4,4,5,5,5,4,4,0,0,6,5,5,4,4,3,4,4,5,3,4,4,4,4,4,3,0,5,2,1,4,4,3,2,2,2,0,1,0,0,4,5,1,4,5,3,4,3,5,3,5,5,4,3,3,2,0,4,Z1,GenZ - Male
30,6,5,4,5,5,4,6,6,0,6,0,3,1,1,1,5,6,6,3,4,6,5,0,0,3,3,4,0,0,3,3,2,3,4,5,2,2,3,0,1,0,5,2,1,0,4,4,4,3,3,5,3,0,0,0,0,1,0,0,2,Z1,GenZ - Male
31,4,2,5,4,4,6,5,5,6,4,1,4,4,6,5,4,6,4,2,3,4,3,1,4,5,4,3,2,0,6,3,0,5,3,2,4,1,4,2,2,0,1,3,5,1,1,5,2,1,0,5,2,2,3,5,5,3,2,0,5,Z1,GenZ - Male
32,5,4,5,3,4,6,6,5,3,4,4,5,4,4,6,6,5,4,5,5,6,5,6,4,5,6,5,4,4,5,3,2,5,2,3,3,3,2,1,3,2,3,4,4,4,5,5,4,2,3,5,4,5,4,5,5,4,3,3,4,Z2,GenZ - Female
33,6,5,4,4,5,6,6,6,6,4,1,3,3,4,5,3,5,5,6,6,6,5,5,4,5,6,6,4,4,4,2,1,5,4,4,3,3,2,4,2,0,1,1,5,1,3,5,3,5,5,3,4,3,3,4,2,4,1,1,4,Z1,GenZ - Male
34,5,4,4,3,4,4,4,4,4,3,1,1,4,5,6,2,2,2,4,3,3,4,1,2,2,2,2,2,2,2,4,1,5,3,2,3,3,2,2,1,0,1,3,4,2,1,1,4,3,4,5,5,2,3,4,2,2,1,1,3,Y1,GenY - Male
35,5,2,5,5,4,5,4,4,0,4,4,5,4,3,4,3,3,4,4,4,4,4,4,3,4,4,5,3,3,4,3,1,5,4,4,2,1,1,0,3,3,3,3,2,1,2,2,1,4,4,5,4,3,2,2,2,3,1,1,2,Y2,GenY - Female
36,6,4,4,4,3,4,5,6,3,5,3,4,6,5,6,5,5,5,5,5,5,6,4,4,6,6,5,3,3,5,3,1,5,4,0,2,2,2,1,3,0,5,5,5,1,4,5,4,5,5,5,5,3,4,4,4,3,2,2,3,Z1,GenZ - Male
37,6,5,6,3,6,3,4,4,0,3,3,4,6,6,6,6,6,6,4,4,6,3,3,4,4,6,3,3,3,4,4,2,5,3,5,2,3,3,0,2,2,2,5,2,2,2,5,3,2,2,5,0,2,2,5,5,2,2,2,3,X1,GenX - Male
38,6,5,4,5,2,6,4,4,6,4,3,3,5,6,6,5,4,4,4,6,5,3,4,5,2,5,5,3,3,3,1,1,5,2,0,1,1,1,4,1,0,0,4,5,1,2,5,1,0,3,4,0,2,2,0,1,2,0,0,1,Y1,GenY - Male
39,6,3,5,3,4,6,6,6,4,6,6,6,5,6,6,5,6,6,6,6,4,5,5,5,6,6,6,4,3,5,4,1,5,4,2,3,3,3,2,3,5,5,4,5,2,4,4,4,2,3,4,3,4,4,5,5,5,3,3,4,Z2,GenZ - Female
40,5,5,5,5,5,6,5,5,0,3,4,4,4,1,5,4,4,4,4,4,6,4,4,0,4,5,3,2,2,0,4,3,5,5,4,3,3,3,0,1,1,1,1,0,2,2,2,2,2,2,5,3,2,2,4,4,1,1,1,1,Y2,GenY - Female
41,6,5,5,5,3,2,5,4,4,3,3,4,4,0,6,2,4,3,4,5,3,4,4,1,4,5,5,1,1,0,4,2,5,4,2,2,3,2,1,1,1,2,0,0,2,1,4,2,2,2,2,3,3,0,1,2,3,0,0,0,Z2,GenZ - Female
42,4,4,4,4,5,5,5,5,2,5,5,6,3,1,4,5,4,4,3,1,1,3,4,0,3,4,3,1,2,4,1,1,5,3,4,1,1,1,1,3,4,4,2,0,1,3,3,3,3,0,3,3,3,0,2,2,0,0,2,2,Y2,GenY - Female
43,5,4,4,3,6,4,4,5,2,4,3,4,5,6,5,5,5,4,4,4,4,5,4,5,4,4,3,3,3,2,2,3,5,1,5,1,2,2,0,1,0,1,4,4,2,4,5,1,5,4,4,5,3,3,3,2,1,0,0,1,X1,GenX - Male
44,5,5,5,4,3,4,4,5,3,4,3,4,3,5,5,5,4,5,4,4,6,6,4,5,4,4,3,3,3,5,3,3,3,3,1,2,2,3,3,2,0,1,3,5,1,5,5,4,5,4,5,5,4,5,3,3,0,0,0,5,Y1,GenY - Male
45,6,0,4,2,0,6,6,6,0,6,6,6,4,4,3,3,3,3,3,3,4,3,4,4,5,2,0,1,3,0,3,0,5,1,0,3,3,1,0,3,5,5,1,5,0,0,0,4,1,1,5,0,5,5,5,0,0,0,4,0,Z2,GenZ - Female
46,4,3,6,5,3,6,4,5,5,6,6,6,2,3,6,2,3,3,5,5,5,6,6,1,3,5,6,3,3,3,2,1,5,4,1,2,2,2,3,4,4,3,2,0,0,2,3,3,3,4,5,5,5,0,3,4,5,1,2,1,Z2,GenZ - Female
47,4,4,5,4,3,3,5,4,5,4,3,5,4,5,6,6,5,5,5,6,5,5,5,5,4,5,5,4,4,4,3,3,5,3,2,0,2,2,4,1,1,1,4,5,4,5,5,4,3,3,5,3,3,4,5,5,4,4,4,5,Y2,GenY - Female
48,3,2,4,4,2,2,2,4,1,1,0,0,2,3,3,4,4,4,3,4,4,3,3,3,2,2,1,0,0,3,1,1,5,4,0,1,1,2,2,0,0,0,0,0,0,5,5,4,1,2,5,0,1,0,0,0,0,0,0,5,Y1,GenY - Male
49,5,4,4,5,4,3,5,3,4,3,3,4,4,3,6,4,4,4,4,4,4,4,1,2,4,5,6,1,1,5,4,2,4,4,3,3,3,3,2,2,0,3,4,1,2,4,5,2,3,2,5,4,1,1,4,4,4,3,4,4,Z1,GenZ - Male
50,5,4,6,6,4,5,5,5,5,4,3,4,4,2,6,5,4,5,5,5,6,6,5,2,4,6,5,3,4,5,3,1,5,4,4,2,2,2,3,1,0,1,4,0,1,2,3,2,1,4,5,4,5,0,3,4,3,0,1,4,Z1,GenZ - Male
51,6,4,6,5,5,4,5,4,3,6,4,5,5,3,6,4,5,5,5,4,4,5,4,3,5,5,4,3,3,3,3,1,5,4,4,1,2,1,1,4,1,1,5,4,3,4,4,4,5,2,4,5,5,2,5,5,4,4,4,4,Y2,GenY - Female
52,6,3,4,5,5,5,4,4,5,3,3,5,3,3,4,4,4,4,5,5,5,5,4,3,4,4,2,3,3,3,5,0,5,4,3,2,1,1,1,2,2,3,2,3,2,4,3,3,4,4,5,4,3,1,2,2,0,1,1,1,Y2,GenY - Female
53,5,5,0,0,3,5,5,5,2,3,0,0,3,2,6,6,6,3,3,5,3,2,2,0,3,4,4,3,2,2,3,4,2,0,1,2,2,1,0,0,0,0,0,0,1,5,5,3,0,3,4,0,3,0,1,3,1,1,0,0,Z2,GenZ - Female
54,6,5,4,4,3,4,5,6,1,2,0,3,3,5,4,3,3,5,3,4,4,4,2,5,5,3,2,0,0,3,4,5,5,3,1,3,3,3,0,0,0,0,0,4,0,0,4,1,2,2,4,3,2,4,4,0,0,0,0,3,X1,GenX - Male
55,6,3,6,6,4,6,6,6,6,5,3,4,6,4,5,4,3,4,4,5,6,4,3,3,4,4,4,2,2,4,3,0,5,3,3,3,3,3,3,2,0,0,4,4,1,4,3,4,1,2,5,0,2,2,3,3,3,1,1,4,Z1,GenZ - Male
56,6,4,4,4,3,6,6,4,1,4,4,4,3,6,3,4,3,4,5,5,4,5,3,6,4,4,3,2,3,1,2,1,2,2,0,2,2,2,0,1,1,1,3,5,1,4,3,4,4,2,5,4,4,5,4,4,1,2,4,3,Y2,GenY - Female
57,6,3,5,5,4,6,5,5,5,4,0,0,5,5,6,4,5,5,6,6,4,6,3,4,6,5,3,3,3,6,5,2,4,4,3,2,3,3,4,4,0,1,4,3,4,3,3,4,5,5,2,5,2,1,3,4,0,2,1,5,Z1,GenZ - Male
58,3,5,3,3,4,3,3,4,4,4,4,5,4,2,4,4,4,4,4,3,3,3,2,1,2,2,2,2,1,2,2,3,5,3,5,2,2,2,5,2,2,3,5,1,2,5,5,2,4,2,2,2,0,0,1,2,2,0,0,2,Y2,GenY - Female
59,4,6,6,6,6,3,3,3,3,4,3,4,6,2,4,5,5,6,6,6,5,4,6,2,3,3,3,5,6,3,1,1,5,3,1,1,1,1,1,1,0,1,4,0,0,5,5,5,5,0,5,0,5,0,2,1,1,5,5,4,X2,GenX - Female
60,5,4,5,4,6,5,6,5,3,4,1,4,6,6,6,4,5,5,6,6,6,6,6,4,4,6,1,3,4,5,1,1,5,3,3,3,3,2,1,1,0,1,3,5,2,3,5,3,5,5,5,3,4,3,1,2,0,0,1,4,Y1,GenY - Male
61,4,3,5,5,4,1,3,4,2,5,5,5,4,4,6,3,4,4,5,4,5,5,3,4,4,5,4,3,3,3,2,1,5,4,4,1,1,2,1,3,4,5,4,4,2,2,3,4,4,2,5,4,3,4,5,5,3,2,2,3,Z2,GenZ - Female
62,6,4,5,5,5,6,6,6,3,4,5,6,3,6,6,4,4,5,6,6,5,6,5,5,6,6,6,4,4,3,3,1,3,4,2,2,2,2,1,1,1,4,0,4,2,2,2,1,4,4,3,4,2,2,2,3,3,0,1,1,Y2,GenY - Female
63,4,3,3,3,5,3,3,3,2,2,1,3,5,5,5,4,2,4,4,4,4,4,2,3,3,3,3,2,1,1,3,2,5,4,5,2,2,2,1,0,0,1,5,4,1,3,1,4,4,2,5,4,2,3,2,2,2,1,1,1,Y2,GenY - Female
